x,class,fold
mathematical sciences nonlinear partial differenial equations,math,val
design of interfacial microstructures and creep resistant lead-free solders for electronic interconnects,metals,val
"mathematical sciences ""geometric methods and their applications for multi-dimensional resonant dynamical systems",math,val
crb diversity theory and its application,economics,val
"race, violence, and television news why americans are getting tough on crime",politic,val
"continued water tunnel studies with tuna at kewalo basin, hawaii",oceanography,val
simulation and semiparametric estimation of microeconometricmodels,economics,val
entrepreneurship in hong kong,sociology,val
mathematical sciences stochastic modeling and identification of seismic records,statistics,val
"groundwater flow, normal fault block motion, and brine evolution within the rio grande rift system, new mexico implications for potassium metasomatism",hydro,val
patterns arising through the continuous spectrum,math,val
refinements for generalized method of moments estimation and testing,economics,val
getting down to basics using university and corporate patents to identify basic inventions and trace their diffusion,economics,val
innervation of fetal and neonatal muscle fiber types,neuroscience,val
mathematical sciences large-sample approximations for analysis of qualitative data,statistics,val
banking and legal regulation in england,economics,val
seismic studies of core-mantle boundary region,geophysics,val
use of metallic interlayers to promote metal/metal epitaxial growth,metals,val
mathematical sciences problems in nonliner continuum mechanics,math,val
nonlinear waves and stability in partial differential equations,math,val
us-globec investigations of environmental cues and physiological processes that regulate larval diapause in calanus finmarchicus,oceanography,val
evolution of physical and chemical attributes of gametes in free spawning marine invertebrates a functional and phylogenetic approach,oceanography,val
distributed cooperative digital archives for scientific and geospatial data,data,val
on line competitive algorithm,theory,val
facultative feeding by planktotrophic larvae of echinoids,oceanography,val
cellular organization in the forebrain of a novel neurological mutant,neuroscience,val
ecological consequences of inbreeding in plants for plant-herbivore interactions,ecology,val
an investigation of the performance characteristics of the lottery procedure for controlling risk preferences,economics,val
effects of litter manipulation and defoliation on em community structure and specificity patterns in yellowstone national park,ecology,val
"marine biotechnology fellowship molecular genetics of ammonium assimilation in the oligotrophic marine bacterium, rm-1",oceanography,val
transaction costs and agricultural contracts,economics,val
"exact and approximation pattern matching, and network routing",theory,val
mathematical sciences stability and dynamics of parametrically driven waves,math,val
a proof-based declarative approach to visualizing concurrent computations,software,val
seismic studies of the lowermost mantle and core-mantle boundary,geophysics,val
"the american candidate study, 1992",politic,val
repression and mobilization what we know and where we should go from here,politic,val
"phosphorus dynamics relative contributions by bacteria and zooplankton to recycling processes in lakes michigan, huron and erie",oceanography,val
parametric methodology in optimization,math,val
"environmental variation, dormancy, and rare plant persistence in invaded habitats",ecology,val
pecase an empirical investigation of the dynamics of measurement-based admission control algorithms within an economic framework,networking,val
"female work, public policy, and fertility in developed nations",sociology,val
mathematical sciences dynamics of interfaces and phase transitions,math,val
role of cholinergic factor in developing nervous tissue,neuroscience,val
mathematical sciences singular pertubation methods for nonlinear dynamical systems and waves,math,val
mathematical sciences dynamical systems with infinitely many degrees of freedom in mathematical physics,math,val
testing the new keynesian synthesis an experimental examination of nominal price frictions in a model with endogenous costs and,economics,val
estimating mortality risks associated with starvation for atlantic cod larvae using molecular markers and cox regression models,oceanography,val
analysis of resource competition models,math,val
the determinants and consequences of midlife education,sociology,val
quantification of hexavalent cr reduction in groundwater using cr stable isotopes,hydro,val
citizenship and the emerging business class in china,politic,val
the role of the zebrafish diwanka gene in motor axon guidance,neuroscience,val
probabilistic considerations in the analysis of algorithms,theory,val
regularities in large systems,software,val
television advertising in political campaigns a study of the 1992 california senate races,politic,val
issues in design of lightwave networks with sparse wavelength conversion,networking,val
revenue maximization in multi-object sales,economics,val
using smart antennas for ad hoc networking,networking,val
"multi-diciplinary investigation of the earth's core-mantle boundary, a pilot project in cooperative studies of the earth's deep interior",geophysics,val
"thrust faults, phase changes, and subduction",geophysics,val
prenatal development of functional connections in the mammalian visual system,neuroscience,val
factors affecting ethnic differences in adult mortality,sociology,val
the effects of information on firm conduct and market structure,economics,val
"transport phenomena, shrinkage, and pore formation during solidification of a dendritic alloy",metals,val
mathematical sciences perturbation theory for near-integrable equations and its application,math,val
mathematical sciences mathematical models of neural processing in the auditory brainstem,math,val
viral influence on freshwater cyanobacteria and toxin dynamics,ecology,val
carnegie-rochester conference on public policy for 2000-2001,economics,val
"lmer  in the columbia river estuary the role of estuarine turbidity maxima (etm) processes coupling watershed, estuary and ocean",oceanography,val
the regulation of neural connections by ngf,neuroscience,val
"mathematical sciences workshop on writing skills for young investigators--atlanta, georgia, august 17-23, 1991",statistics,val
elected politicians and unelected bureaucrats agency rulemaking and medicare physician payment reform,politic,val
massive microearthquake relocation technique development and application to seismotectonics,geophysics,val
application of wavelets in modelling and visualizing multiscale phenomena in geophysics,geophysics,val
international spillovers and water quality in rivers do countries free ride?,economics,val
mathematical sciences break curves and isoklines in curves estimation models,statistics,val
mathematical sciences nonlinear numerical methods for partial differential equations and image and surface compression,math,val
approaches to communication in games,economics,val
"gordon conference on the chemistry of plant- herbivore interactions; ventura, ca; january 27-31, 1992",ecology,val
csedi  origin of the inclusions in diamonds from the deep mantle,geophysics,val
modes of lithospheric extensional consumption and magmatism testing for end-member cases at the great basin-colorado plateau transition with a,geophysics,val
a laboratory study of customer markets,economics,val
lexen fe(iii)-and humics-reducing microorganisms in extreme environments,ecology,val
u.s.globec seasonal development of stratified water on georges bank dynamics of zooplankton and larval fish,oceanography,val
political reform in africa,politic,val
"biological diversity, community structure, and energetics of a neotropical forest canopy ant assemblage",ecology,val
studies of learning and industrial organization,economics,val
joint lamont-icelandic wide-angle reflection/refraction survey of the south iceland overlapping spreading centers,geophysics,val
mathematical tools for non-invasive spectroscopic monitoring of blood chemistry,math,val
determinants of husband-initiated and wife-initiated divorces,sociology,val
alternative approaches to the evaluation of public policy interventions with an emphasis on policies designed to foster human capital,economics,val
towards a unified calculus of efficient parallel computation,theory,val
high performance qos routing,networking,val
algorithms based on partial obstruction sets,theory,val
seasonal variation in zooplankton composition at the bermuda atlantic time series (bats) station,oceanography,val
marine biotechnology fellowship genetic exchange in the marine environment,oceanography,val
new analyses of free oscillation splitting with coupling applications to source and structure determination,geophysics,val
understanding processes of rock friction relevant to earthquake mechanics,geophysics,val
on the nonlinear dynamics of interfaces,math,val
backreaction effects in classical and semiclassical gravity,gravitional,val
reasoning about open systems,software,val
(career) timing and distribution of erosion and extreme hydrologic events,hydro,val
imputation methodology for complex survey problems,statistics,val
tracer stone studies; field and flume,hydro,val
mathematical sciences nonlinear waves and chaotic interfaces,math,val
the wisconsin longitudinal survey adults as parents and children at age 50,sociology,val
"institutions, incentives and information",politic,val
techniques for separations and inclusions of complexity classes,theory,val
"triggering and inhibition of large earthquakes in the nankai trough, japan",geophysics,val
demand uncertainty and market structure,economics,val
conference on breakthroughs in karst geomicrobiology and redox geochemistry,hydro,val
modeling international capital flows and exchange rates movements,economics,val
"conference on mathematical sociology in japan and america (honolulu, hawaii; june 23-25, 2000)",sociology,val
towards overcoming the transitive-closure bottleneck efficient parallel algorithms for directed graphs,theory,val
"investigations of the april 22, 1991 magnitude 7.5 costa rica earthquake",geophysics,val
mathematical sciences nonliner partial differential equations and free boundary problems,math,val
chapman conference on exploration geodynamics,geophysics,val
"subduction, collision, and mountain building, a broadband seismic experiment across the alaska range (beaar)",geophysics,val
principals of uncertainty and information in expert systems,data,val
mathematical sciences new results in sampling and wavelet applications in tomography,math,val
colonial law and postcolonial development a comparative study of the effects of british colonial legacies on national,sociology,val
secure virtually isolated networks to avoid and tolerate denial of service,networking,val
habitat partitioning by notonectids temporal patterns and the role of spatial complexity,ecology,val
mathematical sciences analysis of ice core time series andpaleoclimate modeling,statistics,val
constructing large complex systems via tractable pairwise composition of software components,software,val
synaspe elimination in reinnervated frog muscle,neuroscience,val
asymptotic and statistical analysis of volitility and its implications for derivative pricing and risk management,math,val
microstructure-property relationships in sm-fe-n-based permanent magnets,metals,val
algorithms for metric space embeddings,theory,val
emerging party systems in post-soviet societies a study of party activists,politic,val
small grant program for the advancement of the discipline,sociology,val
role of predation and plant-small mammal interactions in the chilean mediterranean scrub zone,ecology,val
how does economic integration affect technology diffusion and the spatial distribution of productivity growth?,economics,val
iron limitation and the silicate pump in the california and peru coastal upwelling systems,oceanography,val
physiological ecology of marine cyanobacterial communities,oceanography,val
learning and forecasting theory and applications,economics,val
"the effects of volcanic eruption on coral reef ecosystems, montserrat, wi",oceanography,val
"growth, externalities and human capital evidence from the cities",economics,val
optimization of high-level languages,software,val
effects of institutional alignment on political agendas in california's local human relations commissions,sociology,val
"detection, estimation and optimization problems in stochastic systems, genetics and economics",statistics,val
"powre tracking cyanobacterial toxicity in lake sammamish, washington",ecology,val
"in specifying the dimensions of bias in media coverage of demonstrations in washington, dc, 1973- 1995",sociology,val
mathematical sciences crack propagation in linear and nonlinear viscoelastic material,math,val
fresh water and maritime issues in world politics,politic,val
numerical investigations of three and two dimensional free boundary problems,math,val
collection types in programming languages and databases,software,val
topics in immigration and ethnicity,economics,val
hydrous spinelloids and the hydration state of the mantle,geophysics,val
analysis of the 1994 northridge earthquake aftershocks using micropolar continuum theory,geophysics,val
problems in muldimensional and nonlinear systems theory,math,val
frg mechanical instabilities in materials,metals,val
"an evaluation of brown algal phlorotannin synthesis, turnover, and fate a comparison of ecological models",oceanography,val
absolute dating of prehistoric earthquakes by tree-ring analysis in california,geophysics,val
on providing quality-of-service control for core-based multicast routing,networking,val
glycoalkaloids of solanaceous fruits significance as mediators of interactions among fruiting plants and their frugivores,ecology,val
mathematical sciences statistical methods in image processing,statistics,val
joint seismic and geodynamic inversion for whole mantle structure,geophysics,val
social welfare reform and its impact on chinese firms during economic transition,sociology,val
parasitism of bloom-forming dinoflagellates host specificity and ecological implications,oceanography,val
"coll res interaction of saline-formation water, near- surface ground water, and large lakes",hydro,val
fixed-point logic in finite structures,theory,val
automatic real-time software synthesis,software,val
u.s. globec field studies on predatation mortality of copepods and fish larvae on georges bank,oceanography,val
mathematical sciences career advancement award ill-posed problems,math,val
the politics of planning natural resource extraction in a fragile environment a case from the brazilian amazon,sociology,val
learning algorithms for complex data,theory,val
rapid task-based self-organization in distributed ad-hoc spaces,networking,val
novel marine archaebacte potential contribution to midwater biomass and activity,oceanography,val
mathematical sciences theories of the open channel,math,val
topics in dynamic games (accomplishment based renewal),economics,val
graphical tools for development of concurrent systems,software,val
asset market frictions in quantitative international business cycle models,economics,val
the dynamics of presidential nominations,politic,val
toward a strategic foundation for rational expectations equilibrium,economics,val
systems of conservation laws and related models in applied sciences - math awareness and outreach,math,val
designing wireless information services,data,val
topics in classical and quantum relativity,gravitional,val
"present--day kinematics and dynamics of the eastern mediterranean/caucasus interaction of the arabian, african, and eurasian plates",geophysics,val
kinematics and dynamics of kilauea volcano from gps observations,geophysics,val
redox controls on the paleointensity and paleomagnetic record of pelagic sediments,geophysics,val
mathematical sciences waves and diffusion in random media,math,val
social and environmental effects of fair trade coffee and cocoa production,sociology,val
access control management and scurity in a heterogeneous multidomain environment,data,val
post-translational regulation of n-cadherin during neural development,neuroscience,val
mathematical models of cellular movements,math,val
"mathematical science nonlinear control theory topics related to stabilizability, observability and realizability",math,val
gravitational radiation sources for cryogenic resonant bar detectors,gravitional,val
observations of the earthquake cycle from european space agency (ers) and advance land observing satellite (alos) synthetic aperture radar interferometry,geophysics,val
"the effects of olivine anisotropy on liquid distribution, seismic, and electrical properties of partial melts of the upper mantle",geophysics,val
"(usc/ucla/ucr/sdsu) continuing study of internal structure, dynamic rupture and post-earthquake healing of the hector mine",geophysics,val
"gambling with development the birth of casino industries in south africa and california, us",sociology,val
"factor markets, endogenous growth, and the productivity slowdown",economics,val
statistical methods in computational modeling and virtual experiments,statistics,val
"statistical problems in quality control, stochastic systems and genetic analysis",statistics,val
"self-reference, complexity, and learning",theory,val
mathematical sciences semi-strong turbulence,math,val
crb exploring the significance of model structure in viability and harvesting analyses,ecology,val
"cooperation, corporate culture, and industry dynamics",economics,val
immigration to the united states 1940-1980,economics,val
"workshop on approximation algorithms, mar 24-26, 1993, new brunswick, new jersey",theory,val
accurate and robust admission control in integrated services networks,networking,val
management and processing of data streams,data,val
biocomplexity a meta-genome level analysis of an extreme microbial symbiosis,oceanography,val
a seismic study of the taiwan orogen,geophysics,val
a fundamental investigation of threshold stress in dispersion-strengthened materials,metals,val
biogeography of chemoautotrophic symbioses in marine oligochaetes,oceanography,val
analysis of relative paleointensity methods applied to deep-sea sediments,geophysics,val
mathematical models of molecular motors,math,val
"a workshop on 'new directions in materials design science and engineering'; atlanta, georgia; october 19-23, 1998",metals,val
belowground meristem populations as regulators of grassland dynamics,ecology,val
issues in theoretical general relativity,gravitional,val
states and strategies in anarchy,politic,val
caa technology transfer bringing the tools of molecular biology to an ecological genetics program,ecology,val
response of bacterial diversity of increased productivity,ecology,val
ecological determinants of oceanic carbon cycling (edocc),oceanography,val
isi 2003 travel grant,statistics,val
mathematical sciences seventh international conference on multivariate analysis,statistics,val
award numerical relativity; compact objects,gravitional,val
efficient marking techniques for differentiated services in the internet,networking,val
mathematical sciences aspects of fluid flows,math,val
mathematical sciences numerical assessments of goodness-of fit tests based on statistically equivalent blocks,statistics,val
mathematical sciences applications of mathematics in neurobiology,math,val
electoral dynamics and democratic development in nicaragua,politic,val
algorithmic and combinatorial tools for sequence analysis,theory,val
a cooperative analysis of union formation,sociology,val
modeling interest groups with swarm,politic,val
internet telephony services and mobile multimedia services,networking,val
the effects of mechanical foreces on neural growth rates,neuroscience,val
near-optimal solutions for combinatorial problems algorithms and complexity,theory,val
control of neuronal growth an in vivo confocul microscopicstudy,neuroscience,val
mechanisms of plant succession in coastal lake michigan sand dunes,ecology,val
temporal changes in biological community structure and associated geological features at newly-found hydrothermal vents on the epr crest,oceanography,val
on 1970-1990 trends in occupational sex and race composition,sociology,val
a mathematical logic for physically feasible computation,theory,val
mathematical sciences nonlinear time series analysis,statistics,val
the mass dynamics of democratization and quality of life the korean experience,politic,val
mathematical sciences uniform asymptotic approximations,math,val
spatial articulation of fish growth rate potential the integration of bioacoustics and bioenergetics,oceanography,val
shear inelasticity measurements in mantle minerals,geophysics,val
studies of mantle plumes and sinking lithosphere,geophysics,val
political eras and representation,politic,val
contractual issues in the financing of new firms macroeconomic and policy implications,economics,val
process and project of decentralization in federal and unitary states in latin america,politic,val
the seventh purdue international symposium on statistics,statistics,val
efficient and robust designs based on ordered units,statistics,val
advanced design methods for critical components of concurrent systems,software,val
model structure identification in three dimensions and observation design in groundwater modeling,hydro,val
pyi integration of physiological and chemical responses to herbivory,ecology,val
a simplified approach to robust estimation in the instrumental variables context,economics,val
mathematical sciences transport for symplectic mapping,math,val
an experimental approach to understanding self-organization of mode i defects and nucleation of shear fracture,geophysics,val
spatial organization of resistance and plant-pathogen dynamics,ecology,val
mathematical sciences statistical problems with nuisance parameters,statistics,val
mathematical sciences bayesian nonparametric statistics andbootstraps,statistics,val
resource management in parallel database systems,data,val
"political economy, collective choice, regulation, and public economics",economics,val
nanotechnology novel electrodeposited nanocrystalline metals and composites,metals,val
"analysis of scattering in three-dimensions using array recordings of local, regional and teleseismic sources",geophysics,val
pattern formation in the rat's somatosensory system,neuroscience,val
"gordon conference on electrodeposition, new london, nh, august 13-18, 2000",metals,val
genetic analysis of the establishment of neuronal connectivity,neuroscience,val
"the african mantle a case study of seismic structure, composition and dynamics",geophysics,val
intermediate languages based on graph rewriting,software,val
construction of a whole genome micro-array for the marine cyanobacterium prochlorococcus,oceanography,val
"application of global positioning system measurement to continental collision in the pamir-tien shan region, soviet central asia ()",geophysics,val
trading volume in financial markets,economics,val
"mathematical sciences 50th session of the international statistical institute, beijing, china, august 21-29, 1995",statistics,val
role of deformation twinning in strain hardening and texture evolution in titanium experiments and numerical simulations,metals,val
development of tools and linkages for regional hydrologic assessments,hydro,val
a role for astrocyte derived ecm in brain pattern formation,neuroscience,val
learning and reputation with asymmetric information as seen in rural african health care,economics,val
"mathematical sciences analysis, control, dynamics and visualization of distributed parameter systems containing nonlinearities",math,val
"symposium of new trends in nonlinear dynamics and control, and their applications",math,val
reu interactions between stream flow and predator effects,ecology,val
"estate taxation, capital gains taxations, and taxpayer behavior",economics,val
sterol limitation of zooplankton growth roles in nutrition and membrane biology,oceanography,val
in power and unilateral initiatives in explicit bargaining,sociology,val
quantitative modeling of channelized flow within a karst stream,hydro,val
experimental testing and modeling analysis of regulation in a host-parasitoid system,ecology,val
wcr linkages between the chemical weathering of black shales and metal contamination in aquatic systems,hydro,val
seismological investigation of depth and lateral distribution of lower mantle shear velocity heterogeneity and anisotropy,geophysics,val
powre thin film magnets via reactive rf co-sputtering,metals,val
formal verification of compiler algorithms,software,val
scale and mechanism of lateral heterogeneity in the oceanic upper mantle,geophysics,val
"information visualization through graph drawing modeling, analysis and optimization issues",data,val
knowledge discovery in temporal databases,data,val
algorithms for self-testing/correcting program and learning,theory,val
biotic interactions of grassland plants above- and belowground linkages,ecology,val
"models of strategic thinking a theoretical, experimental, and statistical study",economics,val
ralph bunche summer institute,politic,val
international social survey program's 1992-module on social inequality,sociology,val
nontarget effects of host-specific biocontrols direct and indirect effects of biocontrols that subsidize native consumers,ecology,val
"investment, technology adoption, and environmental policy",economics,val
a theoretical and emperical study of legislative lobbying strategies,politic,val
on the economics of eco-labeling,economics,val
is deliberate misspecification desirable? statistical study of financial and other time-dependent data,statistics,val
timescales of geochemical and isotopic transport in natural waters,hydro,val
political science the political economy of subnational industrial promotion in india and mexico,politic,val
developmental plasticity in the autonomic nervous system,neuroscience,val
mri hatching rhythms of estuarine and freshwater grass shrimps,oceanography,val
law making and decree making in a mixed system inter-branch relations in russia,politic,val
inductive equilibrium selection in games with separatrix crossing,economics,val
wetting transitions in liquid and solid alloys,metals,val
analysis of teleseismic data from the archean proterozoic experiment apt 89,geophysics,val
parallel algorithms for graph problems,theory,val
empirical studies of altruism and saving,economics,val
genetics of neuronal structure and connectivity in c. elegans,neuroscience,val
in union centralization in advanced industrial societies,politic,val
mixed model selection theory and application,statistics,val
liquid sodium geodynamo models,geophysics,val
comparative ecology of uncommon and rare galling and free-feeding sawflies,ecology,val
direct imaging of crust and upper mantle structure with broadband seismic arrays,geophysics,val
the dynamics of franchise contracting,economics,val
public use microdata samples of the 1850 slave population,sociology,val
mathematical sciences surface wave mode interactions with explicit and hidden symmetry,math,val
southern ocean experiment (sofex) primary/bacterial production and taxon-specific growth and photosynthetic responses,oceanography,val
policy agendas in the united states since 1945,politic,val
"ecology of viruses in an alkaline, hypersaline lake, mono lake, california",ecology,val
on the electoral link between presidents and assemblies presidential coattails in comparative perspective,politic,val
a liquid sodium laboratory model of the earth,geophysics,val
marine biotechnology fellowship role of chromosome- associated dna binding proteins in the viable but nonculturable state of vibrio vulnificus,oceanography,val
effects of vegetative reproduction on the distribution and abundance of benthic marine invertebrates,oceanography,val
mathematical sciences nonlocal models in the mechanics of materials,math,val
"csedi experimental, seismological and modeling study of therheology, structure and state of stress of deep subducting slabs",geophysics,val
the political consequences of felon disenfranchisement in the united states,sociology,val
population studies at the smithsonian tropical institute san blas field station,oceanography,val
"gps measurements in the northern baja-mexacali valley, mexico continental deformation in a trans-current/ extensional environment",geophysics,val
technological and organizational change in the u.s. trucking industry,economics,val
"the ""give"" and ""take"" on restaurant tipping",economics,val
mathematical sciences some new bootstrap methods for samplesurveys,statistics,val
finite element methods for problems in solid mechanics,math,val
hybrid measurements of crustal deformation on the guererro coast of mexico,geophysics,val
mathematical sciences nonlinear hyperbolic and dispersive waves,math,val
community structure and dynamics in a newly discovered deep sea reducing habitat lipid-rich whale bones,oceanography,val
law making and decree making in a mixed system,politic,val
planktonic community ecology a test of hypotheses in a large temperate river,ecology,val
debugging via run-time type checking,software,val
stability of travelling waves with applications in nonlinearoptics,math,val
"designing international agreements theoretical development, data collection, and empirical analysis",politic,val
women's labor force activity and child care in brazil row planning grant,economics,val
cmg  on models of sub-grid scale turbulence in earth's core and the geodynamo,geophysics,val
determinant of construal formations and influences on verdict and sentencing an affect control model,sociology,val
mathematical sciences stabilization and approximation of infinite dimensional systems,math,val
illumination of the linkages between bacteria and phytoplankton in the coastal ocean during upwelling,oceanography,val
ltreb eroc climate and predation effects on reproductive patch choice and species coexistence,ecology,val
mathematical sciences chaos-integrability transition in nonlinear dynamical systems exponental asymptotics approach,math,val
numerical and analytical studies of wave phenomena in fluid mechanics,math,val
geographic structure of coevolving insect/plant interactions,ecology,val
mathematical sciences global change program,statistics,val
"mathematical sciences viscoelastic shocks, quasiconvexifiedtheories",math,val
the capabilities and limitations of atomated discovery,theory,val
international conference on mathematical and theoretical biology,math,val
modeling and statistical analysis of mental test data,statistics,val
"simulation, optimization, and analysis of high dimensional higher index daes",math,val
design of experiments and canonical moments,statistics,val
"developing a regional context for rocky subtidal communities upwelling, biotic interactions and diversity regulation in the galapagos marine reserve",oceanography,val
mri differentiation in distribution of cultural capital through extracurricular activities,sociology,val
a mechanism for internalizing externalities,economics,val
mobility-based clustering for scalable and responsive routing in ad-hoc networks,networking,val
the distribution of a grasshopper species among new england old fields population ecology along an environmental gradient,ecology,val
the role of ecological interactions in diversification rates of habitat shifts and within-habitat diversification in the enallagma damselflies of two,ecology,val
"design, implementation, & application of a framework for the formalization of deductive systems",software,val
shared knowledge structures and equilibrium in social choice,politic,val
confidence regions for trees,statistics,val
"csedi initiative study of natural majorite, an inter-laboratory/technique comparison ()",geophysics,val
impacts of el nino on settlement patterns of nearshore invertebrates in southern california,oceanography,val
viral transmission dynamics in the serengeti,ecology,val
"topics in group formation, inequality and conflict",economics,val
"2000 nsf information and data management program workshop to be held march 5-7, 2000 in chicago, illinois",data,val
middle and secondary school tracking determinants and consequences,sociology,val
mathematical sciences control of variable coefficient partial differential equations elastic bodies and schrodinger equations,math,val
racial and performance models of african-american mayoral approval,politic,val
determining seed bank age structure with tandem accelerator mass spectrometry c14 dating,ecology,val
properties of earth materials at high pressure and temperatures,geophysics,val
statisical methods in fast functional mri,statistics,val
us-globec broad-scale acoustic measurements of zooplankton and nekton in the georges bank region,oceanography,val
genetic variation in widely - distributed deep-sea molluscs the role of oceanographic and topographic features,oceanography,val
mantle deformation from seismic anisotropy,geophysics,val
columbia university theory days fall & spring 1995,theory,val
analytical and numerical studies of relativistic fluidflows accreting onto a magnetized schwarzschild black hole,gravitional,val
"information economics, confidential settlement bargaining and judicial decision-making",economics,val
"cart-stave complex and real-time systems testing, analysis, validation and evaluation",software,val
workshop idm 02 workshop,data,val
"mathematical sciences applications of lie theory to control, computer science and physics",math,val
global compilation of constraint logic programs,software,val
mathematical sciences computational analysis of multiple scales problems in wave propagation,math,val
regulation and function of neuronal maps,neuroscience,val
dynamic properties of earth materials,geophysics,val
the anatomy of real exchange rates,economics,val
sophisticated data mining in individual choice and market experiments,economics,val
lexen new physiological and phylogenetic types of hyperthermophiles at deep-sea hydrothermal vents,oceanography,val
implications of grain growth observations for the evolution of the western mediterranean upper mantle,geophysics,val
internetworking for mobile computers,networking,val
"taxation, redistribution, and provision of public services in a system of jurisdictions with mobile citizens",politic,val
"mathematical sciences stability, time-optimal, minimum effort control theory of hereditary systems and applications",math,val
the layering problem in graphical user-interface design,software,val
effect of transient hydrologic events on biogeochemical processes,hydro,val
"autoregressive conditional duration, arch, common features and cointegration",economics,val
use of known algal responses and chemically quantified sea water to define mineral aerosol as a phytoplankton micronutrient source,oceanography,val
continent-hotspot interaction crustal deformation measurements and modeling of the yellowstone hotspot,geophysics,val
"""new application of database knowledge""",data,val
neurotransmitter specification and regulation,neuroscience,val
dynamic earthquake rupture simulation on dipping faults,geophysics,val
characterization of me1 during neuronal differentiation,neuroscience,val
the impact of stepfamilies on the well-being of children and adolescents,sociology,val
effects of resource availability and community composition on the outcome of multiple species interactions with ipomopsis aggregata,ecology,val
computer science approaches to finance problems computational complexity and efficient algorithms,theory,val
modeling and optimal design of photonic structures,math,val
mathematical sciences elliptic and parabolic problems from physical models,math,val
mathematical sciences microstructure and its influence on composite material properties,math,val
rpgw incorporating structural response into the prediction of disturbance of a competitive dominant on wave-swept rocky shores,oceanography,val
crb restoration of plants and mycorrhizae in mexico seasonal tropical forest,ecology,val
exploring new constructs in computational type theory,software,val
ill-conditioned generalized estimating equations,statistics,val
traffic management in ip networks,networking,val
representation of temporal properties for automated reasoning about distributed systems,software,val
the impact of spatial and temporal variability of the landscape on atmosphere-land surface interactions at the mesoscale,hydro,val
"on the abundance, dynamics and regulation of damselfish populations",oceanography,val
nonverbal behaviors in social interaction,sociology,val
reliability of computational analysis,math,val
"crb sixth cary conference enhancing the ecological basis for conservation--heterogeneity, ecosystem function, and biodiversity, may 9-11,",ecology,val
primary productivity in antarctic pack ice,oceanography,val
sociology business group structure and the dynamics of firm performance in the people's republic of china,sociology,val
patterns of variability in alaskan salmon populations and their ecosystems during the last five centuries,oceanography,val
vegetation recovery following the 1993 wildfires in southern california,ecology,val
political science communication and candidate strategy in u.s. senate elections,politic,val
"pseudo-nitzschia species, toxin production and eutrophication in the northern gulf of mexico past and present",oceanography,val
nonclassical pdo and some practical problems of local tomography,math,val
magnetic measurements of single crystals of titanomagnetites,geophysics,val
mechanics of rift zones and fault systems on kilauea volcano from gps and terrestrial geodetic measurements,geophysics,val
guanylate cyclases in the neurvous system,neuroscience,val
seismological investigation of atmospheric oscillations excited by volcanic eruptions,geophysics,val
residential mobility and adolescent risk behavior,sociology,val
investigation of internal stresses and strains induced by the olivine-spinel transformation mechanical models and microstructural observations,geophysics,val
asymptotic and singular perturbation methods for bifurcation problems with applications,math,val
"mathematical sciences imagetech - a conference on the mathematics of imaging and applications; march 17-20, 1996; atlanta, georgia",math,val
markets with imperfect information transmission,economics,val
"physiology, ecology and biochemistry of nitrogen fixation by marine planktonic microorganisms (abr)",oceanography,val
"exploring population persitence and community assembly through ""resurrection ecology""",ecology,val
mathematical sciences computed tomography and sampling,math,val
nineteenth century farm mortgages a data collection project,economics,val
some studies on microtexture and acoustoelasticity in polycrystalline media,math,val
efficient financial and monetary institutions,economics,val
elements of valuing biodiversity,economics,val
the role of approximation and parallelism in solving graph problems quickly,theory,val
stability of fine microstructures in thin films,metals,val
vegetation-sensing properties of pollen assemblages,ecology,val
bio-optical properties inthe ocean a collaboration betweenjgofs and the woce hydrographic program,oceanography,val
row microscopic structure and functional mechanical properties of the feeding tentacles of terebellid polychaeteworms,oceanography,val
"constraint satisfaction, database query evaluation, and information integration",data,val
"semiparametric limited dependent variable estimators, with applications",economics,val
deep structure of the altiplano & central andes from a transportable broad band seismic traverse,geophysics,val
the impact of nurse staffing on the quality of patient care,economics,val
finite universe data structures and algorithms,theory,val
mathematical sciences computational methods for multiconstrained nonlinear variational problems,math,val
the u.s. globec office the coordinating office of the scientific steering committee,oceanography,val
"symposium the neural cell adhesion molecule l1 signalling and abnormal brain development to be held november 10, 1995, san diego, ca",neuroscience,val
mathematical sciences  in dynamic problems arising in mechanics and control,math,val
network caching for efficient multimedia content delivery,networking,val
"the roles of disturbance in the persitence of two rare plants in the sandhills community, central coastal california",ecology,val
linking variation in coastal oceanographic conditions with local variation in rocky intertidal community structure,oceanography,val
data mining meets i/o performance evaluation advanced statistical tools for analyzing bursty traffic,data,val
typed common intermediate format,software,val
the feedback compiler - useful information from the backend of a compiler,software,val
"nectar robbers, pollinators, and plants the importance of direct and indirect effects on individuals and communities",ecology,val
u.s. globec georges bank phase iii modes of circulation and mixing on georges bank -- quantifying source water using the oxygen isotope tracer,oceanography,val
reciprocity in the russian labor market its role in the transition from state socialism,sociology,val
5th mississippi state conference on differential equations & computational simulations,math,val
"explicit combinatorial constructions, indexed data scheduling, and their applications",theory,val
"the effects of gender stratification among adults on medical treatment choices for boys and girls, a case study on minia, egypt",sociology,val
mathematical sciences dimension and bases for spline spaces,math,val
muslim women in senegal identities in a changing world,sociology,val
"mathematical sciences georgia tech/uab international conference on differential equations and mathematical physics; march 22-28, 1992, atlanta, ga",math,val
national longitudinal study of adolescent health,sociology,val
a conference on great subduction earthquakes (wadati conference),geophysics,val
